timestamp,team_1_yes,team_1_no,team_2_yes,team_2_no
2025-12-10T20:08:04.485847+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:08:09.986547+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:08:20.921630+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:08:27.645865+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:08:40.230897+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:08:46.566423+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:08:52.807317+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:08:59.212689+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:09:06.032776+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:09:12.693791+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:09:19.044410+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:09:25.309219+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:09:31.053689+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:09:36.564278+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:09:43.011485+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:09:48.168280+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:09:54.076182+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:10:00.123925+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:10:07.799977+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:10:14.208981+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:10:20.286258+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:10:25.865445+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:10:36.843596+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:10:42.758591+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:10:49.416216+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:10:59.719663+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:11:06.463008+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:11:13.536596+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:11:24.192489+00:00,0.4400,0.5700,0.5700,0.4400
2025-12-10T20:11:34.928775+00:00,0.4400,0.5700,0.5700,0.4400
